№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
530,data_for_algoritm_15405.json,Корм дкош WHISKAS Желе с кур и инд 75г,385,98,143,2,0.0054,0.01,4.65,Европаллета
531,data_for_algoritm_14974.json,ПС-6,1300,282,100,1,0.0367,0.04,18.3,Европаллета
532,data_for_algoritm_16847.json,А47,1200,800,1000,1,0.96,0.96,1.1,Европаллета
533,data_for_algoritm_14974.json,ПС-9,3952,2375,100,1,0.9386,0.94,388.5,Европаллета
534,data_for_algoritm_15216.json,152,199,148,216,20,0.0064,0.13,242.28,Европаллета
535,data_for_algoritm_16931.json,подгуз1,660,330,450,212,0.098,20.78,2544.0,Фура 13.6 м
536,data_for_algoritm_15411.json,А12,900,900,1000,1,0.81,0.81,130.0,Европаллета
537,data_for_algoritm_17080.json,26.1. Упаковка обрамлений,2200,380,455,1,0.3804,0.38,50.0,Европаллета
538,data_for_algoritm_15481.json,А71,1640,1640,1260,1,3.3889,3.39,410.0,Фургон
539,data_for_algoritm_15159.json,Корм дкош WHISKAS слив.соус лоскрев 75,385,98,143,1,0.0054,0.01,1.0,Европаллета
540,data_for_algoritm_15568.json,Вода ЧЕРНОГОЛОВКА Артез негаз. ПЭТ 1.5L,260,160,315,1,0.0131,0.01,9.2,Европаллета
541,data_for_algoritm_16222.json,G35421506 Ecophon Focus Ds XL 2400x600x20mm non-standard NCS color,2460,1270,2340,4,7.3106,29.24,86.4,Фура 13.6 м
542,data_for_algoritm_15483.json,А167,3050,3140,3150,1,30.1675,30.17,1.79,Спецтранспорт
543,data_for_algoritm_17074.json,23. Упаковка стояков кабины ограждения противовеса,3000,100,100,1,0.03,0.03,30.0,Европаллета
